"","SG_PARTIDO","NM_PARTIDO","DS_TP_DOCUMENTO","DT_PAGAMENTO","VR_PAGAMENTO"
"69","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","OUTROS",2018-01-31,43.45
"70","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","OUTROS",2017-12-31,83.17
"71","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","OUTROS",2018-01-15,2.3
"72","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","OUTROS",2018-08-23,5
"73","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","OUTROS",2018-09-20,1.15
"74","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","OUTROS",2018-10-10,5
"75","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","OUTROS",2018-10-26,9.2
"76","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","OUTROS",2018-11-20,2.5
"77","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","OUTROS",2018-12-04,15
"78","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","OUTROS",2018-12-24,5
"79","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","OUTROS",2017-12-31,1389.16
"80","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","OUTROS",2017-12-31,8353.74
"81","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","OUTROS",2018-03-14,2.3
"82","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","OUTROS",2018-06-20,2.5
"83","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","OUTROS",2018-10-01,2.5
"84","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","OUTROS",2018-09-30,1468.5
"85","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","OUTROS",2018-09-12,13.8
"86","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","OUTROS",2017-12-31,528.05
"87","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","OUTROS",2018-02-15,0.07
"88","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","OUTROS",2018-06-20,7.05
"89","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","OUTROS",2018-07-11,4.35
"90","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","OUTROS",2018-07-25,2.35
"91","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","OUTROS",2018-08-07,5
"92","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","OUTROS",2018-03-23,11.8
"93","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","OUTROS",2018-04-10,17.4
"94","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","OUTROS",2018-05-09,2.35
"95","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","OUTROS",2018-12-10,9.2
"96","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","OUTROS",2017-12-31,1733.68
"97","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","OUTROS",2017-12-31,45
"98","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","OUTROS",2018-02-28,231.33
"99","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","OUTROS",2018-09-17,5
"100","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","OUTROS",2018-10-01,2.5
"101","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","OUTROS",2018-10-22,9.2
"102","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","OUTROS",2018-11-08,7.5
"103","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","OUTROS",2018-02-15,4.35
"104","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","OUTROS",2018-03-02,7.05
"105","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","OUTROS",2018-08-15,9.2
"106","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","RECIBO",2018-12-05,2565.22
"107","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","RECIBO",2018-10-03,1874.6
"108","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","RECIBO",2018-05-15,230.26
"109","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","OUTROS",2018-11-06,1601.6
"110","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","OUTROS",2018-01-22,8.7
"111","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","RECIBO",2018-06-21,4111.62
"112","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","RECIBO",2018-06-21,2192.76
"113","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","RECIBO",2018-10-03,3568.21
"114","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","OUTROS",2018-06-04,8.85
"115","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","OUTROS",2018-06-26,4.35
"116","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","OUTROS",2018-07-13,4.7
"117","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","OUTROS",2018-08-02,15
"118","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","OUTROS",2018-03-16,8.7
"119","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","OUTROS",2018-04-06,4.35
"120","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","OUTROS",2018-05-03,2.95
"121","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","OUTROS",2018-05-18,26.1
"122","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","RECIBO",2018-12-28,1324.8
"123","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","RECIBO",2018-07-31,2082.08
"124","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","RECIBO",2018-12-07,4937
"125","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","RECIBO",2018-06-21,1601.6
"126","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","RECIBO",2018-03-28,50
"127","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","RECIBO",2018-03-02,1043.7
"128","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","OUTROS",2018-01-03,9.4
"129","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","OUTROS",2018-01-25,2.35
"130","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","OUTROS",2018-02-19,4.35
"131","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","RECIBO",2018-08-30,2082.08
"132","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","RECIBO",2018-01-31,3104.37
"133","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","FATURA",2018-05-01,1487.4
"134","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","FATURA",2018-10-03,39.9
"135","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","FATURA",2018-04-25,2100
"136","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","FATURA",2018-11-21,281.74
"137","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","DOCUMENTO FISCAL",2018-05-24,1500
"138","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","DOCUMENTO FISCAL",2018-08-31,180
"139","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","DOCUMENTO FISCAL",2018-06-28,523.98
"140","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","DOCUMENTO FISCAL",2018-10-06,50
"141","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","FATURA",2018-11-22,256.4
"142","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","RECIBO",2018-04-30,1601.6
"143","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","DOCUMENTO FISCAL",2018-01-09,146
"144","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","DOCUMENTO FISCAL",2018-08-18,2103.38
"145","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","FATURA",2018-03-01,1607.55
"146","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","FATURA",2018-09-06,409.82
"147","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","FATURA",2018-01-04,519.01
"148","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","FATURA",2018-05-09,1008
"149","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","FATURA",2018-08-01,256.4
"150","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","DOCUMENTO FISCAL",2018-03-16,600
"151","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","DOCUMENTO FISCAL",2018-05-11,1063.63
"152","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","DOCUMENTO FISCAL",2018-10-03,200
"153","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","DOCUMENTO FISCAL",2018-02-01,207.8
"154","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","DOCUMENTO FISCAL",2018-07-06,587
"155","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","DOCUMENTO FISCAL",2018-03-12,1306.68
"156","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","DOCUMENTO FISCAL",2018-06-27,1200
"157","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","DOCUMENTO FISCAL",2018-10-10,2197.49
"158","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","DOCUMENTO FISCAL",2018-03-05,3053.16
"159","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","DOCUMENTO FISCAL",2018-07-31,990
"160","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","DOCUMENTO FISCAL",2018-08-13,455.8
"161","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","DOCUMENTO FISCAL",2018-04-23,140
"162","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","DOCUMENTO FISCAL",2018-08-18,63.7
"163","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","DOCUMENTO FISCAL",2017-12-31,30
"164","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","DOCUMENTO FISCAL",2018-07-05,2809.04
"165","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","DOCUMENTO FISCAL",2018-08-24,6019.95
"166","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","DOCUMENTO FISCAL",2018-01-19,1165
"167","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","DOCUMENTO FISCAL",2018-06-29,1351.5
"168","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","DOCUMENTO FISCAL",2018-07-31,505
"169","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","DOCUMENTO FISCAL",2018-08-04,339
"170","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","DOCUMENTO FISCAL",2018-03-23,300
"171","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","DOCUMENTO FISCAL",2018-04-26,541.5
"172","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","DOCUMENTO FISCAL",2018-08-16,5008
"173","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","DOCUMENTO FISCAL",2018-08-15,15000
"174","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","DOCUMENTO FISCAL",2018-03-01,2896
"175","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","DOCUMENTO FISCAL",2018-05-08,350
"176","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","DOCUMENTO FISCAL",2018-09-23,380
"177","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","DOCUMENTO FISCAL",2018-09-03,5338.42
"178","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","DOCUMENTO FISCAL",2018-04-13,84
"179","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","DOCUMENTO FISCAL",2018-07-18,8750
"180","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","#NULO#",2018-07-31,146.51
"181","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","DOCUMENTO FISCAL",2018-08-28,280
"182","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","DOCUMENTO FISCAL",2018-09-25,300
"183","MDB","MOVIMENTO DEMOCRÁTICO BRASILEIRO","DOCUMENTO FISCAL",2018-05-03,120
"184","PL","PARTIDO LIBERAL","OUTROS",2018-05-07,4.35
"185","PL","PARTIDO LIBERAL","OUTROS",2018-09-05,4.6
"186","PL","PARTIDO LIBERAL","OUTROS",2018-01-31,4.35
"187","PL","PARTIDO LIBERAL","OUTROS",2018-10-03,4.6
"188","PL","PARTIDO LIBERAL","OUTROS",2018-12-11,4.6
"189","PL","PARTIDO LIBERAL","OUTROS",2018-04-10,4.35
"190","PL","PARTIDO LIBERAL","OUTROS",2018-01-01,95.2
"191","PL","PARTIDO LIBERAL","OUTROS",2018-08-01,40.62
"192","PL","PARTIDO LIBERAL","OUTROS",2018-08-14,11
"193","PL","PARTIDO LIBERAL","DOCUMENTO FISCAL",2018-11-01,200
"194","PL","PARTIDO LIBERAL","DOCUMENTO FISCAL",2018-08-20,301.91
"195","PL","PARTIDO LIBERAL","FATURA",2018-10-04,131.77
"196","PL","PARTIDO LIBERAL","RECIBO",2018-03-01,1736.28
"197","PL","PARTIDO LIBERAL","RECIBO",2018-03-01,820.44
"198","PL","PARTIDO LIBERAL","RECIBO",2018-11-01,1104
"199","PL","PARTIDO LIBERAL","OUTROS",2018-01-31,4.35
"200","PL","PARTIDO LIBERAL","OUTROS",2018-11-08,4.6
"201","PL","PARTIDO LIBERAL","OUTROS",2018-07-20,4.35
"202","PL","PARTIDO LIBERAL","BOLETO",2018-02-16,183.72
"203","PL","PARTIDO LIBERAL","FATURA",2018-09-01,205.34
"204","PL","PARTIDO LIBERAL","RECIBO",2018-07-01,1736.28
"205","PL","PARTIDO LIBERAL","RECIBO",2018-09-01,2904.8
"206","PL","PARTIDO LIBERAL","OUTROS",2018-10-05,48
"207","PL","PARTIDO LIBERAL","OUTROS",2018-10-05,12.5
"208","PL","PARTIDO LIBERAL","OUTROS",2018-05-07,4.35
"209","PL","PARTIDO LIBERAL","BOLETO",2018-07-09,183.72
"210","PL","PARTIDO LIBERAL","DOCUMENTO FISCAL",2018-02-01,200
"211","PL","PARTIDO LIBERAL","DOCUMENTO FISCAL",2018-07-31,280
"212","PL","PARTIDO LIBERAL","DOCUMENTO FISCAL",2018-02-01,1100
"213","PL","PARTIDO LIBERAL","FATURA",2018-01-05,91.39
"214","PL","PARTIDO LIBERAL","OUTROS",2018-12-11,4.6
"215","PL","PARTIDO LIBERAL","OUTROS",2018-04-10,4.35
"216","PL","PARTIDO LIBERAL","OUTROS",2018-02-01,1043.68
"217","PL","PARTIDO LIBERAL","OUTROS",2018-11-01,95.2
"218","PL","PARTIDO LIBERAL","OUTROS",2018-07-05,43.4
"219","PL","PARTIDO LIBERAL","OUTROS",2018-06-27,4.35
"220","PL","PARTIDO LIBERAL","OUTROS",2018-10-03,4.6
"221","PSB","PARTIDO SOCIALISTA BRASILEIRO","CONTRATO",2018-07-12,5000
"222","PSB","PARTIDO SOCIALISTA BRASILEIRO","DOCUMENTO FISCAL",2018-03-16,2200
"223","PSB","PARTIDO SOCIALISTA BRASILEIRO","DOCUMENTO FISCAL",2018-06-01,480
"224","PSB","PARTIDO SOCIALISTA BRASILEIRO","DOCUMENTO FISCAL",2018-07-05,450
"225","PSB","PARTIDO SOCIALISTA BRASILEIRO","FATURA",2018-08-03,16908.16
"226","PSB","PARTIDO SOCIALISTA BRASILEIRO","FATURA",2018-05-10,196.66
"227","PSB","PARTIDO SOCIALISTA BRASILEIRO","FATURA",2018-10-01,381.65
"228","PSB","PARTIDO SOCIALISTA BRASILEIRO","FATURA",2018-03-09,60.9
"229","PSB","PARTIDO SOCIALISTA BRASILEIRO","FATURA",2018-05-22,250
"230","PSB","PARTIDO SOCIALISTA BRASILEIRO","FATURA",2018-09-11,40000
"231","PSB","PARTIDO SOCIALISTA BRASILEIRO","RECIBO",2018-06-04,954
"232","PSB","PARTIDO SOCIALISTA BRASILEIRO","RECIBO",2018-08-31,6600
"233","PSB","PARTIDO SOCIALISTA BRASILEIRO","RECIBO",2018-11-30,5260
"234","PSB","PARTIDO SOCIALISTA BRASILEIRO","OUTROS",2018-11-01,4.6
"235","PSB","PARTIDO SOCIALISTA BRASILEIRO","OUTROS",2018-01-04,11.6
"236","PSB","PARTIDO SOCIALISTA BRASILEIRO","OUTROS",2018-03-05,5.8
"237","PSB","PARTIDO SOCIALISTA BRASILEIRO","OUTROS",2018-06-04,240
"238","PSB","PARTIDO SOCIALISTA BRASILEIRO","OUTROS",2018-09-06,4.6
"239","PSB","PARTIDO SOCIALISTA BRASILEIRO","OUTROS",2018-11-07,22
"240","PSB","PARTIDO SOCIALISTA BRASILEIRO","OUTROS",2018-08-31,40
"241","PSB","PARTIDO SOCIALISTA BRASILEIRO","OUTROS",2018-10-04,240
"242","PSB","PARTIDO SOCIALISTA BRASILEIRO","OUTROS",2018-04-11,4.7
"243","PSB","PARTIDO SOCIALISTA BRASILEIRO","OUTROS",2017-12-31,224.88
"244","PSB","PARTIDO SOCIALISTA BRASILEIRO","OUTROS",2018-06-15,7.05
"245","PSB","PARTIDO SOCIALISTA BRASILEIRO","OUTROS",2018-09-17,2.5
"246","PSB","PARTIDO SOCIALISTA BRASILEIRO","OUTROS",2018-09-19,5
"247","PSB","PARTIDO SOCIALISTA BRASILEIRO","OUTROS",2018-03-23,70.8
"248","PSB","PARTIDO SOCIALISTA BRASILEIRO","OUTROS",2018-03-26,43.4
"249","PSB","PARTIDO SOCIALISTA BRASILEIRO","OUTROS",2018-04-13,146.84
"250","PSB","PARTIDO SOCIALISTA BRASILEIRO","DOCUMENTO FISCAL",2018-05-07,5250
"251","PSB","PARTIDO SOCIALISTA BRASILEIRO","DOCUMENTO FISCAL",2018-05-28,500
"252","PSB","PARTIDO SOCIALISTA BRASILEIRO","DOCUMENTO FISCAL",2018-09-18,4000
"253","PSB","PARTIDO SOCIALISTA BRASILEIRO","FATURA",2018-04-06,373.45
"254","PSB","PARTIDO SOCIALISTA BRASILEIRO","FATURA",2018-09-03,130.22
"255","PSB","PARTIDO SOCIALISTA BRASILEIRO","FATURA",2018-05-14,724.03
"256","PSB","PARTIDO SOCIALISTA BRASILEIRO","FATURA",2018-09-11,250
"257","PSB","PARTIDO SOCIALISTA BRASILEIRO","FATURA",2018-12-07,325
"258","PSB","PARTIDO SOCIALISTA BRASILEIRO","RECIBO",2018-01-26,400
"259","PSB","PARTIDO SOCIALISTA BRASILEIRO","RECIBO",2018-06-11,500
"260","PSB","PARTIDO SOCIALISTA BRASILEIRO","RECIBO",2017-12-31,834
"261","PSB","PARTIDO SOCIALISTA BRASILEIRO","OUTROS",2018-02-02,2.35
"262","PSB","PARTIDO SOCIALISTA BRASILEIRO","OUTROS",2018-02-05,0.7
"263","PSB","PARTIDO SOCIALISTA BRASILEIRO","OUTROS",2018-06-11,1422.6
"264","PSB","PARTIDO SOCIALISTA BRASILEIRO","OUTROS",2018-11-06,4.6
"265","PSB","PARTIDO SOCIALISTA BRASILEIRO","OUTROS",2018-06-08,4.35
"266","PSB","PARTIDO SOCIALISTA BRASILEIRO","OUTROS",2018-10-09,5
"267","PSB","PARTIDO SOCIALISTA BRASILEIRO","OUTROS",2018-11-30,60
"268","PSB","PARTIDO SOCIALISTA BRASILEIRO","OUTROS",2017-12-31,1643.35
"269","PSB","PARTIDO SOCIALISTA BRASILEIRO","OUTROS",2018-09-14,53.87
"270","PSB","PARTIDO SOCIALISTA BRASILEIRO","OUTROS",2018-06-14,865.58
"271","PSB","PARTIDO SOCIALISTA BRASILEIRO","OUTROS",2018-07-20,4.7
"272","PSB","PARTIDO SOCIALISTA BRASILEIRO","OUTROS",2018-01-25,4.35
"273","PSB","PARTIDO SOCIALISTA BRASILEIRO","OUTROS",2018-08-27,48
"274","PSB","PARTIDO SOCIALISTA BRASILEIRO","OUTROS",2017-12-31,28.11
"275","PSC","PARTIDO SOCIAL CRISTÃO","RECIBO",2018-05-07,392.69
"276","PSC","PARTIDO SOCIAL CRISTÃO","OUTROS",2018-05-07,1000
"277","PSC","PARTIDO SOCIAL CRISTÃO","OUTROS",2018-12-07,4725
"278","PSC","PARTIDO SOCIAL CRISTÃO","OUTROS",2018-04-05,73.4
"279","PSC","PARTIDO SOCIAL CRISTÃO","BOLETO",2018-08-01,2000
"280","PSC","PARTIDO SOCIAL CRISTÃO","FATURA",2018-01-10,239.59
"281","PSC","PARTIDO SOCIAL CRISTÃO","RECIBO",2018-02-02,2612.55
"282","PSC","PARTIDO SOCIAL CRISTÃO","RECIBO",2018-06-28,2612.55
"283","PSC","PARTIDO SOCIAL CRISTÃO","RECIBO",2018-09-28,3002.55
"284","PSC","PARTIDO SOCIAL CRISTÃO","OUTROS",2018-06-30,19.2
"285","PSC","PARTIDO SOCIAL CRISTÃO","OUTROS",2018-07-05,73.4
"286","PSC","PARTIDO SOCIAL CRISTÃO","RECIBO",2018-10-05,68.24
"287","PSC","PARTIDO SOCIAL CRISTÃO","RECIBO",2018-02-05,66.31
"288","PSC","PARTIDO SOCIAL CRISTÃO","RECIBO",2018-07-03,275.68
"289","PSC","PARTIDO SOCIAL CRISTÃO","RECIBO",2018-10-05,272.63
"290","PSC","PARTIDO SOCIAL CRISTÃO","RECIBO",2018-11-28,2626.77
"291","PSC","PARTIDO SOCIAL CRISTÃO","OUTROS",2018-05-07,270.58
"292","PSC","PARTIDO SOCIAL CRISTÃO","BOLETO",2018-03-01,2000
"293","PSC","PARTIDO SOCIAL CRISTÃO","DOCUMENTO FISCAL",2018-04-02,1400
"294","PSD","PARTIDO SOCIAL DEMOCRÁTICO","OUTROS",2018-03-01,5950.94
"295","PSD","PARTIDO SOCIAL DEMOCRÁTICO","OUTROS",2018-07-05,8.02
"296","PSD","PARTIDO SOCIAL DEMOCRÁTICO","OUTROS",2018-03-01,29.01
"297","PSD","PARTIDO SOCIAL DEMOCRÁTICO","OUTROS",2018-02-16,4.35
"298","PSD","PARTIDO SOCIAL DEMOCRÁTICO","OUTROS",2018-03-20,4.35
"299","PSD","PARTIDO SOCIAL DEMOCRÁTICO","OUTROS",2018-07-17,2.95
"300","PSD","PARTIDO SOCIAL DEMOCRÁTICO","OUTROS",2018-08-27,3
"301","PSD","PARTIDO SOCIAL DEMOCRÁTICO","OUTROS",2018-11-19,4.6
